name,mlb,btTch,dfTch,ocl,attr,pd,mlst,know_num,allies_num,enemies_num
0,1,1.0,1000.0,[0],0,22.741115335793804,0.994978318011403,36,2,2
1,1,1.0,1000.0,[1],0,22.741115335793804,10.0,36,2,0
2,0,1.0,1000.0,,0,0.0,0.0,0,0,0
3,1,1.0,1000.0,[3],0,22.741115335793804,4.133154510712712,36,3,1
4,1,1.0,1000.0,[4],1,22.741115335793804,8.192229217527888,36,0,8
5,1,1.0,1000.0,[5],2,22.741115335793804,9.251047367165013,36,0,2
6,1,1.0,1000.0,[6],2,22.741115335793804,9.353152652632428,36,0,2
7,1,1.0,1000.0,[7],0,22.741115335793804,1.40987853882713,36,2,2
8,1,1.0,1000.0,[8],1,22.741115335793804,8.01908195585421,36,0,5
9,1,1.0,1000.0,[9],2,22.741115335793804,8.782788608994132,36,0,3
10,1,1.0,1000.0,[10],1,22.741115335793804,8.120078605616857,36,0,6
11,1,1.0,1000.0,[11],2,22.741115335793804,8.707879428020199,36,0,5
12,1,1.0,1000.0,[12],0,22.741115335793804,2.6149013142580584,36,5,2
13,0,1.0,1000.0,,0,0.0,0.0,0,0,0
14,1,1.0,1000.0,[14],0,22.741115335793804,0.9006801951734459,36,2,2
15,1,1.0,1000.0,[15],0,22.741115335793804,4.123975192370679,36,4,1
16,1,1.0,1000.0,[16],0,22.741115335793804,4.372652857234279,36,4,1
17,1,1.0,1000.0,[17],0,22.741115335793804,1.114792125028173,36,3,3
18,1,1.0,1000.0,[18],1,22.741115335793804,8.251086514587655,36,0,5
19,1,1.0,1000.0,[19],2,22.741115335793804,8.29305674918757,36,0,4
20,1,1.0,1000.0,[20],1,22.741115335793804,7.636836641246094,36,0,7
21,1,1.0,1000.0,[21],1,22.741115335793804,8.941024912025185,36,0,7
22,1,1.0,1000.0,[22],0,22.741115335793804,5.322738968452454,36,1,2
23,1,1.0,1000.0,[23],0,22.741115335793804,0.3298660709763389,36,4,1
24,1,1.0,1000.0,[24],2,22.741115335793804,8.967221451532774,36,0,3
25,1,1.0,1000.0,[25],1,22.741115335793804,8.87566951423882,36,0,4
26,1,1.0,1000.0,[26],2,22.741115335793804,10.0,36,0,0
27,0,1.0,1000.0,,0,0.0,0.0,0,0,0
28,1,1.0,1000.0,[28],2,22.741115335793804,8.622955800561181,36,0,4
29,1,1.0,1000.0,[29],0,22.741115335793804,3.358186472009461,36,2,2
30,0,1.0,1000.0,,0,0.0,0.0,0,0,0
31,1,1.0,1000.0,[31],0,22.741115335793804,0.23118232262622773,36,2,1
32,1,1.0,1000.0,[32],1,22.741115335793804,8.086298956629467,36,0,7
33,1,1.0,1000.0,[33],0,22.741115335793804,5.650682977007719,36,1,2
34,1,1.0,1000.0,[34],1,22.741115335793804,8.671564031149186,36,0,5
35,1,1.0,1000.0,[35],0,22.741115335793804,0.7665513619008292,36,2,4
36,1,1.0,1000.0,[36],1,22.741115335793804,8.55708888031019,36,0,7
37,1,1.0,1000.0,[37],1,22.741115335793804,8.616908029811144,36,0,7
38,1,1.0,1000.0,[38],2,22.741115335793804,9.519266405789566,36,0,1
39,1,1.0,1000.0,[39],1,22.741115335793804,8.33768107858767,36,0,6
40,1,1.0,1000.0,[40],2,22.741115335793804,10.0,36,0,0
41,0,1.0,1000.0,,0,0.0,0.0,0,0,0
42,1,1.0,1000.0,[42],2,22.741115335793804,10.0,36,0,0
43,1,1.0,1000.0,[43],2,22.741115335793804,9.652159534608021,36,0,1
